"name","rank","state_name","state_code","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent","type","degree_length","in_state_total","out_of_state_total"
"Muhlenberg College",17,"Pennsylvania","PA",53400,101900,43,20,"Private","4 Year",64360,64360
"Multnomah University",22,"Oregon","OR",40500,76400,82,0,"Private","4 Year",34770,34770
"Murray State University",12,"Kentucky","KY",44800,79900,56,9,"Public","4 Year",18274,33730
"Nazarene Bible College",19,"Colorado","CO",33600,60100,NA,0,"Private","4 Year",14700,14700
"Nebraska Wesleyan University",12,"Nebraska","NE",45700,80500,60,8,"Private","4 Year",43824,43824
"New College of Florida",20,"Florida","FL",47300,86500,40,4,"Public","4 Year",16183,39208
"New England College",6,"New-Hampshire","NH",45700,86400,43,24,"Private","4 Year",52136,52136
"New England Institute of Technology",7,"Rhode-Island","RI",51700,93200,44,14,"Private","4 Year",43005,43005
"New Jersey City University",24,"New-Jersey","NJ",48700,87600,55,9,"Public","4 Year",24789,34311
"New Jersey Institute of Technology",3,"New-Jersey","NJ",64600,121300,51,75,"Public","4 Year",30938,46350
"New Mexico Highlands University",6,"New-Mexico","NM",40400,73800,63,4,"Public","4 Year",14022,18174
"New Mexico Institute of Mining and Technology",1,"New-Mexico","NM",64700,120400,61,91,"Public","4 Year",16280,30778
"New Orleans Baptist Theological Seminary",23,"Louisiana","LA",33900,61500,NA,0,"Private","4 Year",10400,10400
"New York University",13,"New-York","NY",63100,117700,42,18,"Private","4 Year",69984,69984
"Newberry College",19,"South-Carolina","SC",41200,74700,54,14,"Private","4 Year",37090,37090
"Newman University",6,"Kansas","KS",48000,88500,66,11,"Private","4 Year",39050,39050
"Nicholls State University",14,"Louisiana","LA",44500,84300,53,5,"Public","4 Year",17920,19013
"North Carolina Wesleyan College",21,"North-Carolina","NC",45300,78800,62,8,"Private","4 Year",41800,41800
"North Central College",19,"Illinois","IL",50400,92900,45,9,"Private","4 Year",49899,49899
"Northeastern State University",16,"Oklahoma","OK",44500,77600,58,7,"Public","4 Year",14288,22358
"Northeastern University",16,"Massachusetts","MA",62500,109700,46,40,"Private","4 Year",68267,68267
"Northern Arizona University",4,"Arizona","AZ",49600,90000,56,12,"Public","4 Year",21846,36110
"Northern Illinois University",14,"Illinois","IL",53000,95500,47,20,"Public","4 Year",23142,23142
"Northern Kentucky University",6,"Kentucky","KY",49000,87400,46,12,"Public","4 Year",20054,29702
"Northern State University",7,"South-Dakota","SD",42300,77700,56,7,"Public","4 Year",16527,19500
"Northwest Christian University",17,"Oregon","OR",45200,81100,62,5,"Private","4 Year",39350,39350
"Northwest Missouri State University",13,"Missouri","MO",46900,85100,50,26,"Public","4 Year",19821,26473
"Northwest Nazarene University",6,"Idaho","ID",46200,80600,68,7,"Private","4 Year",36700,36700
"Northwest University",16,"Washington","WA",50900,89000,51,3,"Private","4 Year",40170,40170
"Northwestern College",18,"Iowa","IA",44800,82400,42,11,"Private","4 Year",40300,40300
"Northwestern College",18,"Iowa","IL",44800,82400,42,11,"For Profit","2 Year",30887,30887
"Northwestern Oklahoma State University",18,"Oklahoma","OK",42200,76800,55,11,"Public","4 Year",11816,18933
"Northwestern University",2,"Illinois","IL",63400,115400,46,20,"Private","4 Year",71193,71193
"Norwich University",3,"Vermont","VT",57000,99100,51,20,"Private","4 Year",53856,53856
"Notre Dame of Maryland University",23,"Maryland","MD",48300,86400,58,3,"Private","4 Year",48750,48750
"Nova Southeastern University",14,"Florida","FL",50200,89800,60,9,"Private","4 Year",44150,44150
"Oakland University",9,"Michigan","MI",51300,93300,49,19,"Public","4 Year",22706,34330
"Oakwood University",15,"Alabama","AL",43500,78800,71,16,"Private","4 Year",26032,26032
"Oberlin College",13,"Ohio","OH",53100,96800,47,21,"Private","4 Year",71392,71392
"Oglethorpe University",6,"Georgia","GA",52400,91400,50,12,"Private","4 Year",51300,51300
"Ohio Northern University",6,"Ohio","OH",54400,103900,49,22,"Private","4 Year",43910,43910
"Ohio Valley University",16,"West-Virginia","WV",38800,71100,81,1,"Private","4 Year",29880,29880
"Ohio Wesleyan University",9,"Ohio","OH",51300,99200,46,21,"Private","4 Year",58190,58190
"Oklahoma Baptist University",19,"Oklahoma","OK",43900,76600,62,8,"Private","4 Year",35608,35608
"Oklahoma Christian University",7,"Oklahoma","OK",49700,87900,57,41,"Private","4 Year",30950,30950
"Oklahoma City University",7,"Oklahoma","OK",47700,87900,58,9,"Private","4 Year",39922,39922
"Oklahoma Panhandle State University",20,"Oklahoma","OK",42300,74400,54,10,"Public","4 Year",12889,13828
"Oklahoma Wesleyan University",15,"Oklahoma","OK",43300,78700,58,1,"Private","4 Year",35600,35600
"Old Dominion University",14,"Virginia","VA",50200,89900,52,19,"Public","4 Year",22492,41392
"Oral Roberts University",9,"Oklahoma","OK",45900,85100,59,8,"Private","4 Year",37178,37178
"Oregon Health & Science University",1,"Oregon","OR",65400,108300,79,10,"Public","4 Year",19176,33666
"Oregon Institute of Technology",2,"Oregon","OR",61200,106800,60,27,"Public","4 Year",19045,37114
"Oregon State University",5,"Oregon","OR",56200,104800,53,34,"Public","4 Year",24021,42996
"Ouachita Baptist University",8,"Arkansas","AR",44100,80200,58,18,"Private","4 Year",34670,34670
"Pacific Lutheran University",10,"Washington","WA",54500,98100,53,20,"Private","4 Year",52856,52856
"Pacific Northwest College of Art",15,"Oregon","OR",46300,85000,NA,0,"Private","4 Year",51110,51110
"Pacific University",8,"Oregon","OR",50200,94000,66,8,"Private","4 Year",56826,56826
"Park University",14,"Missouri","MO",48500,85000,56,7,"Private","4 Year",20850,20850
"Peru State College",17,"Nebraska","NE",42600,74800,50,6,"Public","4 Year",15462,15492
"Pfeiffer University",23,"North-Carolina","NC",44200,78000,51,4,"Private","4 Year",41460,41460
"Philander Smith College",19,"Arkansas","AR",34600,61200,NA,26,"Private","4 Year",20664,20664
"Pittsburg State University",8,"Kansas","KS",47100,84900,51,8,"Public","4 Year",15076,26420
"Plymouth State University",12,"New-Hampshire","NH",47000,82200,50,6,"Public","4 Year",25199,33869
"Pomona College",13,"California","CA",63800,117200,47,37,"Private","4 Year",69496,69496
"Portland State University",12,"Oregon","OR",50800,90500,48,16,"Public","4 Year",19533,37488
"Prairie View A&M University",17,"Texas","TX",57800,99400,65,22,"Public","4 Year",19458,33768
"Presbyterian College",6,"South-Carolina","SC",48800,89900,57,14,"Private","4 Year",49140,49140
"Prescott College",7,"Arizona","AZ",41200,73500,69,0,"Private","4 Year",39185,39185
"Princeton University",2,"New-Jersey","NJ",75200,139400,48,48,"Private","4 Year",65620,65620
"Principia College",17,"Illinois","IL",52600,94900,56,19,"Private","4 Year",41080,41080
"Providence College",3,"Rhode-Island","RI",58900,106900,44,11,"Private","4 Year",65090,65090
"Queens University of Charlotte",9,"North-Carolina","NC",49400,86600,48,9,"Private","4 Year",45544,45544
"Quinnipiac University",10,"Connecticut","CT",55900,97700,46,10,"Private","4 Year",62500,62500
"Radford University",22,"Virginia","VA",48900,82900,53,10,"Public","4 Year",20616,32251
"Ramapo College of New Jersey",15,"New-Jersey","NJ",51600,95200,41,12,"Public","4 Year",26824,36165
"Randolph College",19,"Virginia","VA",47000,86100,50,23,"Private","4 Year",53165,53165
"Reed College",3,"Oregon","OR",56100,104900,44,26,"Private","4 Year",70550,70550
